NR, 1, 2, 3, 4, 5, 6, 7, 8
84,5,13,18,8,31,30,3,45
85,5,10,18,8,32,30,3,45
86,6,12,19,8,32,30,4,45
87,5,8,19,8,32,30,4,45
88,4,7,18,8,32,30,3,45
89,4,6,18,8,32,30,3,44
90,4,4,19,8,32,30,4,44
91,3,4,19,8,31,30,3,44
92,2,7,19,8,31,30,1,43
93,2,7,19,8,30,31,1,44
94,2,7,19,8,30,31,1,43
95,2,7,20,8,30,30,2,42
96,2,5,20,8,30,30,2,42
97,2,5,20,7,30,30,2,41
98,2,5,21,7,30,30,3,41
99,2,4,22,6,29,31,3,41
100,2,3,23,6,29,32,3,40
101,2,6,24,7,29,32,3,40
102,2,3,25,7,29,31,3,41
103,2,3,26,7,29,32,3,41
104,2,3,26,6,29,31,3,40
105,2,5,27,6,29,31,2,40
106,2,8,26,5,30,31,2,40
107,2,11,26,5,30,31,2,41
108,2,15,25,5,30,31,3,42
109,2,16,25,5,30,31,3,43
110,4,14,25,5,29,31,3,43
111,5,12,26,5,29,31,2,43
112,4,16,26,5,29,31,2,43
113,4,15,26,5,29,31,1,43
114,4,13,27,5,29,31,1,43
115,4,11,27,5,29,31,1,43
116,4,8,28,4,29,31,1,44
117,4,8,29,4,30,31,1,44
118,4,8,30,4,30,31,1,45
119,4,9,29,4,30,31,1,45
120,4,14,30,4,29,31,2,45
121,4,13,29,4,29,31,2,44
122,5,14,30,4,30,31,2,44
123,4,13,30,3,30,32,2,43
124,4,19,31,3,30,32,3,43
125,4,10,31,3,30,31,3,44
126,4,11,32,3,30,31,3,44
127,6,15,32,2,30,31,3,44
128,6,11,32,3,30,31,3,44
129,6,9,33,2,30,31,3,44
130,6,9,34,2,29,30,3,43
131,6,8,35,2,29,30,3,43
132,6,9,36,2,30,30,3,43
133,6,10,37,2,30,30,3,43
134,5,8,38,2,30,29,3,43
135,4,8,39,3,29,29,3,43
136,4,5,40,3,29,29,3,43
137,4,6,40,3,30,28,2,44
138,4,9,40,3,30,28,2,43
139,4,11,40,3,31,28,2,43
140,4,12,41,3,31,28,1,43
141,4,7,42,3,31,28,1,43
142,4,10,42,3,32,28,1,43
143,4,10,42,4,32,28,1,43
144,4,14,41,4,32,28,1,43
145,4,19,41,4,32,28,1,43
146,4,18,39,3,33,28,1,42
147,4,20,39,4,32,28,1,42
148,4,24,38,4,32,28,1,42
149,4,24,39,4,32,28,1,42
150,4,24,39,4,32,28,1,41
151,4,11,40,4,32,29,1,41
152,4,10,40,4,33,29,1,41
153,4,7,41,5,32,28,1,41
154,4,5,41,5,32,29,1,41
155,4,6,42,5,32,29,2,41
156,4,5,43,5,32,28,2,40
157,4,7,43,5,32,28,3,41
158,4,8,44,5,32,28,3,41
159,4,12,43,5,32,28,3,41
160,4,15,43,5,32,28,2,41
161,4,14,43,6,32,28,2,41
162,4,10,43,6,32,27,2,41
163,4,6,43,6,31,27,2,42
164,3,9,43,6,31,26,3,40
165,2,8,43,6,32,26,3,37
166,2,8,44,5,31,27,3,37
167,2,9,43,6,32,27,3,37
168,2,8,42,5,31,27,3,38
169,2,13,42,5,31,26,4,37
170,2,16,41,5,31,27,3,37
171,4,21,40,5,31,26,3,37
172,4,18,40,5,32,26,2,37
173,4,14,39,5,32,27,1,36
174,4,14,39,6,32,26,2,36
175,6,19,37,6,31,26,1,36
176,7,12,37,6,32,27,1,36
177,9,8,38,5,32,26,1,36
178,8,6,39,6,33,27,1,36
179,8,5,40,6,34,27,1,36
180,8,4,41,6,34,26,2,36
181,8,5,41,6,34,27,2,36
182,8,9,40,6,34,27,2,36
183,8,11,39,6,34,27,2,36
184,8,9,40,6,34,27,2,36
185,8,11,39,7,34,27,2,36
186,8,10,39,6,34,27,2,36
187,9,12,39,6,34,27,2,36
188,8,16,39,5,35,27,2,36
189,8,16,39,5,35,27,2,37
190,8,12,39,6,35,27,2,38
191,8,8,40,6,35,28,2,38
192,8,7,40,6,35,28,2,38
193,9,3,41,5,36,29,2,38
194,8,1,42,6,36,29,3,38
195,8,2,44,6,36,29,2,38
196,8,1,45,6,36,29,2,38
197,8,1,47,6,36,29,2,38
198,8,1,48,6,36,29,2,38
199,8,2,49,6,35,28,2,38
200,8,3,50,6,36,28,2,38
1,10,60,10,3,30,30,3,50
2,20,81,10,2,29,29,3,50
3,20,27,10,3,29,30,3,50
4,20,16,11,3,29,30,3,50
5,20,7,12,3,29,29,3,50
6,20,8,14,3,29,29,3,50
7,20,5,14,3,30,30,3,50
8,20,6,15,3,30,29,3,50
9,18,4,16,4,30,29,2,50
10,16,3,17,5,30,29,2,50
11,16,5,18,4,29,29,2,50
12,16,6,18,4,30,29,2,50
13,16,7,19,5,31,29,2,50
14,16,7,19,6,31,28,3,50
15,14,5,18,6,31,28,2,51
16,13,8,18,6,31,28,2,51
17,12,8,18,6,31,28,2,51
18,12,9,18,6,31,28,2,51
19,12,9,18,6,31,28,2,51
20,12,7,18,7,32,29,2,51
21,12,8,18,7,32,29,2,50
22,12,13,17,8,32,30,2,50
23,12,13,17,8,32,29,2,50
24,12,7,17,8,32,30,2,51
25,12,10,17,9,32,31,2,51
26,12,10,18,8,32,31,2,51
27,12,9,18,8,32,30,2,51
28,12,8,18,7,32,30,2,51
29,13,10,18,7,32,30,2,51
30,12,12,18,7,33,30,2,51
31,12,14,17,7,32,30,2,51
32,13,10,18,7,32,31,2,51
33,14,7,19,7,33,31,2,51
34,14,4,20,7,33,31,2,51
35,14,7,21,7,33,31,2,51
36,14,4,21,7,33,31,2,51
37,14,8,22,7,33,31,2,51
38,14,9,22,7,33,30,2,50
39,14,5,23,7,33,30,2,50
40,13,8,23,7,33,30,2,50
41,12,11,23,7,33,30,1,50
42,12,12,22,7,33,30,1,50
43,12,9,23,6,33,31,2,50
44,12,10,22,7,33,31,2,50
45,12,13,23,7,33,31,2,50
46,12,13,22,6,34,31,2,50
47,12,12,23,6,34,31,2,50
48,12,12,23,7,34,31,2,50
49,12,12,21,7,34,31,2,50
50,12,14,21,7,35,32,2,50
51,12,13,21,7,34,32,2,49
52,12,13,20,7,34,32,2,49
53,12,15,20,7,35,32,1,49
54,12,11,21,8,35,32,1,49
55,12,10,20,7,36,32,1,49
56,12,14,21,7,36,32,1,49
57,12,17,20,7,36,32,2,49
58,12,19,20,7,36,32,2,49
59,12,12,20,7,37,32,1,49
60,12,10,21,7,37,33,1,49
61,12,11,21,7,37,33,2,49
62,13,14,21,7,37,32,2,49
63,12,13,21,7,37,32,2,49
64,12,20,21,7,37,32,2,49
65,12,16,20,6,37,32,2,49
66,13,8,21,6,37,31,2,49
67,13,5,22,6,37,31,2,49
68,12,7,23,6,38,30,2,49
69,12,10,24,6,38,30,2,50
70,12,9,24,7,38,30,2,50
